상품분류,카테고리,제품명,브랜드,정가,할인율,가격,특가,20대,30대,40대,50대,60대,gender,키워드1,이미지링크,출력(W),크기(L),사양,냉방면적(평),에너지효율
전자제품,전자레인지,파워그릴 클래식,삼성,300000,0%,300000,,0.85,0.34,0.14,0.74,0.79,남여공용,일반,https://zrr.kr/K0iL,700,,"출력: 700W, 에너지효율: 2등급",,2등급
전자제품,전자레인지,이지클린 마이크로,삼성,210000,20%,168000,,0.35,0.78,0.33,0.49,0.43,남여공용,일반,https://zrr.kr/k3Jy,700,,"출력: 700W, 에너지효율: 1등급",,1등급
전자제품,전자레인지,퀵쿡 프로,삼성,250000,0%,250000,,0.37,0.55,0.11,0.44,0.45,남여공용,고출력,https://zrr.kr/WOKE,1000,,"출력: 1000W, 에너지효율: 1등급",,1등급
전자제품,전자레인지,컴팩트웨이브,LG,190000,0%,190000,,0.75,0.33,0.08,0.51,0.15,남여공용,고출력,https://zrr.kr/nL3r,1000,,"출력: 1000W, 에너지효율: 3등급",,3등급
전자제품,전자레인지,스팀쿡 마스터,LG,280000,0%,280000,,0.28,0.91,0.57,0.05,0.82,남여공용,고출력,https://zrr.kr/Pcr6,1000,,"출력: 1000W, 에너지효율: 2등급",,2등급
전자제품,에어컨,에코에어 슬림,LG,2800000,20%,2240000,여름특가,0.79,0.2,0.14,0.05,0.6,남여공용,창문형,https://zrr.kr/ekcj,3500,,"창문형, 6평형, 정속형, 3500W, 에너지효율: 5등급",6,5등급
전자제품,에어컨,에너지세이버 골드,위니아,1900000,0%,1900000,,0.4,0.36,0.69,0.24,0.28,남여공용,스탠드,https://zrr.kr/ucrD,7000,,"스탠드, 9평형, 정속형, 7000W, 에너지효율: 3등급",9,3등급
전자제품,에어컨,스마트쿨 맥스,삼성,3000000,20%,2400000,여름특가,0.81,0.56,0.53,0.92,0.57,남여공용,스탠드,https://zrr.kr/BKPJ,7000,,"스탠드, 15평형, 인버터, 7000W, 에너지효율: 2등급",15,2등급
전자제품,에어컨,클라우드쿨 프리미엄,위니아,2500000,0%,2500000,,0.1,0.86,0.95,0.4,0.26,남여공용,벽걸이,https://zrr.kr/Xwi1,3500,,"벽걸이, 6평형, 정속형, 3500W, 에너지효율: 3등급",6,3등급
전자제품,에어컨,퀵쿨 인버터,LG,2200000,20%,1760000,여름특가,0.24,0.8,0,0.42,0.37,남여공용,벽걸이,https://zrr.kr/gdPa,3500,,"벽걸이, 6평형, 인버터, 3500W, 에너지효율: 2등급",6,2등급
전자제품,선풍기,휴대용 미니팬,샤오미,90000,0%,90000,,0.53,0.5,0.01,0.57,0.38,남여공용,스탠드,https://zrr.kr/0Yx3,,,"스탠드, 3단, 에너지효율: 1등급",,1등급
전자제품,선풍기,윈드플러스 스탠드,샤오미,120000,0%,120000,,0.26,0.86,0.66,0.27,0.46,남여공용,스탠드,https://zrr.kr/gg4C,,,"스탠드, 10단, 에너지효율: 2등급",,2등급
전자제품,선풍기,에어써큘레이터,다이슨,450000,20%,360000,쿨할인,0.43,0.18,0.42,0.64,0.81,남여공용,스탠드,https://zrr.kr/I9rt,,,"스탠드, 5단, 에너지효율: 3등급",,3등급
전자제품,선풍기,쿨윈드 제타,한일전기,150000,20%,120000,쿨할인,0.14,0.46,0.35,0.45,0.59,남여공용,벽걸이,https://zrr.kr/dXOn,,,"벽걸이, 3단, 에너지효율: 2등급",,2등급
전자제품,선풍기,미스트팬 프로,다이슨,200000,20%,160000,쿨할인,0.41,0.79,0.9,0.14,0.54,남여공용,벽걸이,https://zrr.kr/9LBq,,,"벽걸이, 5단, 에너지효율: 1등급",,1등급
전자제품,노트북,맥북 에어,애플,1400000,0%,1400000,,0.17,0.72,0.01,0.15,1,남여공용,학생용,https://zrr.kr/pTe5,,,"무게: 1.14kg, 화면크기: 13인치, CPU: i5-12세대, SSD: 256GB, RAM: 8GB",,
전자제품,노트북,그램 17,LG,2000000,0%,2000000,,0.2,0.24,0.67,0.82,0.19,남여공용,학생용,https://zrr.kr/2BGk,,,"무게: 1.1kg, 화면크기: 17인치, CPU: i5-13세대, SSD: 512GB, RAM: 16GB",,
전자제품,노트북,갤럭시북 프로,삼성,1500000,0%,1500000,,0.27,0.64,0.52,0.73,0.7,남여공용,사무용,https://zrr.kr/xaym,,,"무게: 1.2kg, 화면크기: 15.6인치, CPU: i7-13세대, SSD: 512GB, RAM: 16GB",,
전자제품,노트북,젠북 프로,ASUS,2800000,0%,2800000,,0.93,0.78,0.05,0.19,0.4,남여공용,전문가용,https://zrr.kr/Vlko,,,"무게: 1.7kg, 화면크기: 15.6인치, CPU: i9-13세대, SSD: 512GB, RAM: 32GB",,
전자제품,노트북,씽크패드 X1,레노버,2500000,20%,2000000,방학 특가,0.98,0.42,0.67,0.27,0.03,남여공용,사무용,https://zrr.kr/Cbjy,,,"무게: 1.35kg, 화면크기: 14인치, CPU: i3-13세대, SSD: 512GB, RAM: 16GB",,
전자제품,냉장고,프레쉬쿨 맥스,LG,1500000,0%,1500000,,0.57,0.1,0.98,0.21,0.9,남여공용,얼음정수기,https://zrr.kr/8XfU,,306,"크기: 306L, 4도어, 얼음정수기, 에너지효율: 1등급",,1등급
전자제품,냉장고,청정플러스,위니아,1100000,0%,1100000,,0.49,0.93,0.49,0.94,0.94,남여공용,얼음정수기,https://zrr.kr/LSYq,,216,"크기: 216L, 4도어, 얼음정수기, 에너지효율: 2등급",,2등급
전자제품,냉장고,아이스프로 360,삼성,1200000,0%,1200000,,0.14,0.15,0.95,0.12,0.98,남여공용,트레이,https://zrr.kr/UA6e,,300,"크기: 300L, 3도어, 트레이, 에너지효율: 2등급",,2등급
전자제품,냉장고,프로스트킹 대용량,딤채,2000000,20%,1600000,게릴라 특가,0.37,0.42,0.87,0.36,0.32,남여공용,트레이,https://zrr.kr/s4PU,,507,"크기: 507L, 2도어, 트레이, 에너지효율: 2등급",,2등급
전자제품,냉장고,에코세이브 미니,LG,750000,0%,750000,,0.15,0.95,0.74,0.16,0.76,남여공용,트레이,https://zrr.kr/9mPN,,255,"크기: 255L, 2도어, 트레이, 에너지효율: 1등급",,1등급
전자제품,TV,픽셀퍼펙트 QLED,삼성,1800000,0%,1800000,,0.09,0.62,0,0.46,0.47,남여공용,스탠드,https://zrr.kr/X60a,,,"스탠드, QLED, 화면크기: 43인치, 에너지효율: 1등급",,1등급
전자제품,TV,엑스퍼트 OLED,LG,2200000,0%,2200000,,0.59,0.29,0.93,0.95,0.33,남여공용,스탠드,https://zrr.kr/OkVX,,,"스탠드, OLED, 화면크기: 50인치, 에너지효율: 2등급",,2등급
전자제품,TV,브라비아 XR,소니,2500000,0%,2500000,,0.76,0.2,0.72,0.42,0.05,남여공용,스탠드,https://zrr.kr/Xnxb,,,"스탠드, XR, 화면크기: 52인치, 에너지효율: 3등급",,3등급
전자제품,TV,크리스탈 UHD,삼성,1400000,0%,1400000,,0.42,0.96,0.41,0.14,0.77,남여공용,벽걸이,https://zrr.kr/58pF,,,"벽걸이, UHD, 화면크기: 50인치, 에너지효율: 3등급",,3등급
전자제품,TV,올레드 시네마,LG,2000000,20%,1600000,게릴라 특가,0.34,0.32,0.52,0.59,0.5,남여공용,벽걸이,https://zrr.kr/uIIn,,,"벽걸이, UHD, 화면크기: 55인치, 에너지효율: 2등급",,2등급
